iter	RMSE
0	4.49837002
1	4.377156126
2	4.255839086
3	4.138023143
4	4.018255539
5	3.914536342
6	3.804194745
7	3.694524807
8	3.595318863
9	3.497917323
10	3.409364307
11	3.311228829
12	3.218284638
13	3.12509374
14	3.039535448
15	2.958347874
16	2.883534472
17	2.801471652
18	2.724032322
19	2.651804413
20	2.578057829
21	2.512184708
22	2.444008782
23	2.374326911
24	2.316242586
25	2.252550924
26	2.194850643
27	2.138194885
28	2.080736656
29	2.02578724
30	1.971664974
31	1.922586495
32	1.870558241
33	1.819420676
34	1.772189039
35	1.729029884
36	1.684699667
37	1.641300705
38	1.598564609
39	1.55915144
40	1.518834542
41	1.481898529
42	1.44901033
43	1.411374563
44	1.376243435
45	1.341016915
46	1.307973911
47	1.273936618
48	1.243404072
49	1.211828916
50	1.180938909
51	1.151717206
52	1.124732262
53	1.096945314
54	1.069948096
55	1.043627944
56	1.020181141
57	0.9952808314
58	0.970933972
59	0.9479666451
60	0.9247543009
61	0.902792539
62	0.8831317416
63	0.8631318014
64	0.8458712707
65	0.8290848438
66	0.8116986824
67	0.7954820149
68	0.7791689266
69	0.7638747821
70	0.7479559679
71	0.7328869742
72	0.7188715029
73	0.70493054
74	0.6918714567
75	0.6784162506
76	0.665669777
77	0.6535441061
78	0.6422172957
79	0.6306625572
80	0.6191423825
81	0.6086909393
82	0.5993226771
83	0.5888360644
84	0.580024743
85	0.5704748442
86	0.5619304277
87	0.5529905551
88	0.5451014851
89	0.5374371884
90	0.5301943357
91	0.5225036844
92	0.5152187921
93	0.5086294611
94	0.5016970509
95	0.495137501
96	0.4887521411
97	0.4826050814
98	0.4770211656
99	0.4719302044
100	0.4661801682
101	0.4611055798
102	0.4561737376
103	0.4513962917
104	0.4467290132
105	0.4424911233
106	0.438432253
107	0.4343203776
108	0.4302346899
109	0.4267179708
110	0.4231872821
111	0.4195317993
112	0.4157925801
113	0.4126981259
114	0.4097999922
115	0.4067765194
116	0.403986752
117	0.4011158329
118	0.398501407
119	0.395926717
120	0.3933946473
121	0.3905472098
122	0.3877269783
123	0.3855797064
124	0.383162473
125	0.3810655145
126	0.378558315
127	0.3766614067
128	0.3749655364
129	0.3731847862
130	0.3717457826
131	0.3697009581
132	0.3679571964
133	0.3659749843
134	0.3641553596
135	0.3625417418
136	0.360668483
137	0.3590246821
138	0.3574073479
139	0.3559726158
140	0.3547042402
141	0.353452295
142	0.3523698037
143	0.351297083
144	0.3503524147
145	0.3489437781
146	0.3475693305
147	0.3463515542
148	0.344960696
149	0.3437743334
150	0.3424728183
151	0.341514341
152	0.3404223695
153	0.3394422301
154	0.3385709553
155	0.3375699178
156	0.336718708
157	0.3358188046
158	0.3349844731
159	0.3335033266
160	0.3325550722
161	0.3317925876
162	0.3305887378
163	0.329500132
164	0.3286210209
165	0.3277287079
166	0.327008279
167	0.3262510807
168	0.3253225882
169	0.3247068555
170	0.3239493138
171	0.3231519723
172	0.3223602987
173	0.3218404006
174	0.3210179978
175	0.3201100464
176	0.3193544577
177	0.3187062861
178	0.3180882161
179	0.3171285216
180	0.3165939071
181	0.3159558821
182	0.3151816606
183	0.3145955575
184	0.3139912873
185	0.3136109721
186	0.3125800462
187	0.3121383207
188	0.3116729526
189	0.3109763507
190	0.3101814046
191	0.3094187854
192	0.3087914786
193	0.3082716454
194	0.3080068916
195	0.307816415
196	0.3071579183
197	0.3067372205
198	0.3059241595
199	0.3054921904
200	0.3049334957
201	0.3042891484
202	0.3035971912
203	0.3029392177
204	0.3020543582
205	0.301282877
206	0.3010502294
207	0.3004456815
208	0.2998798597
209	0.2994241887
210	0.2990996202
211	0.2983957099
212	0.2978847742
213	0.2974078435
214	0.2969069683
215	0.2963483611
216	0.2955638729
217	0.2949046823
218	0.2944944647
219	0.2942055529
220	0.2938396179
221	0.2935720779
222	0.2931515509
223	0.2927148832
224	0.2922930807
225	0.2918352617
226	0.2914455497
227	0.2912191788
228	0.2907681017
229	0.2904276677
230	0.2899677703
231	0.289590913
232	0.2891995476
233	0.2887679056
234	0.2883317083
235	0.2876753448
236	0.2870968252
237	0.2869071294
238	0.2867753503
239	0.2865856442
240	0.2863117178
241	0.2855296986
242	0.2851275713
243	0.2847152561
244	0.2838665893
245	0.2833071967
246	0.2823062675
247	0.2820980962
248	0.2816570538
249	0.2813126947
250	0.2808844686
251	0.2807470237
252	0.2805807895
253	0.2804392026
254	0.2798103392
255	0.2794854892
256	0.2792949746
257	0.278583727
258	0.2781572964
259	0.2777578869
260	0.2775410894
261	0.2766812895
262	0.27584469
263	0.2751394963
264	0.2745402316
265	0.2742822784
266	0.2735008308
267	0.2732517354
268	0.2730950116
269	0.2726450635
270	0.2725125009
271	0.2713856837
272	0.2711147952
273	0.2705400959
274	0.2699569175
275	0.2691714075
276	0.2687896968
277	0.2684957469
278	0.2675688021
279	0.2667064058
280	0.2657650767
281	0.265223249
282	0.2647152429
283	0.2641631909
284	0.2638807064
285	0.263126012
286	0.2627729577
287	0.2622849312
288	0.2621457441
289	0.2612588381
290	0.2610713628
291	0.2607700811
292	0.2602828739
293	0.2594086749
294	0.2588881979
295	0.2587494832
296	0.2583217376
297	0.2578645005
298	0.2574581829
299	0.2567040978
300	0.2562619826
301	0.25617742
302	0.2558429033
303	0.2548568867
304	0.2545152846
305	0.2541042339
306	0.2539570944
307	0.2538322803
308	0.2535854461
309	0.2533394839
310	0.2530178529
311	0.2528653906
312	0.2520925029
313	0.2516560301
314	0.2515475908
315	0.2508833723
316	0.250602088
317	0.2504681329
318	0.2498178186
319	0.2492857157
320	0.2487784691
321	0.2482863759
322	0.2475297707
323	0.2473945099
324	0.2472756665
325	0.247204083
326	0.2465704916
327	0.2464206403
328	0.2459390064
329	0.2458164192
330	0.2457164672
331	0.2453109369
332	0.2451827639
333	0.244954474
334	0.2444137559
335	0.2442671717
336	0.2436128898
337	0.2432931198
338	0.2431530727
339	0.2430315892
340	0.2427771323
341	0.2425478121
342	0.2416870748
343	0.2415334816
344	0.2409018954
345	0.2403139246
346	0.2399693911
347	0.2394558584
348	0.2390926309
349	0.2384779709
350	0.2377883198
351	0.2373574963
352	0.2368154868
353	0.2361355834
354	0.2360241701
355	0.235404852
356	0.2348725362
357	0.2347487152
358	0.2343984148
359	0.233981393
360	0.2336553329
361	0.2333656433
362	0.2325768849
363	0.2321382081
364	0.2319656298
365	0.2315747791
366	0.2312964893
367	0.2306378113
368	0.2298365547
369	0.2293965585
370	0.2291783629
371	0.2288483166
372	0.228790656
373	0.2286662576
374	0.2282957034
375	0.2280848735
376	0.2279678301
377	0.2274319114
378	0.2273228449
379	0.226320241
380	0.2260279949
381	0.225489379
382	0.2250175708
383	0.224667467
384	0.2242279984
385	0.2236652549
386	0.2233027501
387	0.2232709836
388	0.2228797342
389	0.2227976
390	0.2223757774
391	0.2220370896
392	0.2219787708
393	0.2218137398
394	0.2216192862
395	0.2212630583
396	0.2206357826
397	0.2197816368
398	0.219318554
399	0.2188287249
400	0.2186757329
401	0.2183128667
402	0.2176425806
403	0.2175128726
404	0.216785978
405	0.2165225156
406	0.2163395197
407	0.2160642443
408	0.2155795639
409	0.215024046
410	0.2146748898
411	0.2145904853
412	0.2144186
413	0.2135511383
414	0.2133135323
415	0.2132759545
416	0.2129881069
417	0.2126893667
418	0.2124438529
419	0.2122669658
420	0.2120763724
421	0.2111974139
422	0.2106676334
423	0.2102487746
424	0.210013606
425	0.2095811941
426	0.2091376088
427	0.2089124518
428	0.2084724284
429	0.207891852
430	0.2078228579
431	0.2076046445
432	0.2071394523
433	0.2066391735
434	0.2062730754
435	0.2061508153
436	0.2057238592
437	0.2054652113
438	0.2047655236
439	0.2046672408
440	0.2043212447
441	0.2042459736
442	0.2039331287
443	0.2036119794
444	0.2033487842
445	0.2032038498
446	0.2027569633
447	0.2026144701
448	0.2025289008
449	0.202479335
450	0.2021391756
451	0.2020850589
452	0.2016567962
453	0.2013571255
454	0.2011847043
455	0.2007476701
456	0.2005914232
457	0.2002696844
458	0.2001771078
459	0.2000745628
460	0.2000051054
461	0.1995773038
462	0.198937867
463	0.1986524243
464	0.1983779861
465	0.1982842519
466	0.1978335396
467	0.1973431811
468	0.1968056766
469	0.1963693085
470	0.196260955
471	0.1956338009
472	0.1952607653
473	0.1948907467
474	0.1945810542
475	0.1943011301
476	0.1940547417
477	0.1933776078
478	0.1930930404
479	0.1927447543
480	0.1926328036
481	0.1922722048
482	0.1919546248
483	0.1918426551
484	0.191609911
485	0.1915017032
486	0.1914519065
487	0.1910337918
488	0.1909911375
489	0.1904866449
490	0.1901350146
491	0.189897534
492	0.1895544141
493	0.1893324567
494	0.1892692561
495	0.189014637
496	0.1885932122
497	0.1885047904
498	0.1881639318
499	0.1877160618
500	0.1875863591
501	0.1874972192
502	0.1873628556
503	0.1868687916
504	0.1865020843
505	0.1861559243
506	0.1859804949
507	0.1859004068
508	0.1856966046
509	0.1855559702
510	0.1854939896
511	0.1851594039
512	0.1850734473
513	0.1850320999
514	0.1849103678
515	0.1845263463
516	0.1844412397
517	0.1842441902
518	0.1837637536
519	0.1832549027
520	0.1830669291
521	0.1829085223
522	0.182831715
523	0.1824613583
524	0.1820695918
525	0.1818770298
526	0.1815558896
527	0.181503217
528	0.1814554149
529	0.1813926044
530	0.1808981689
531	0.1804537263
532	0.1803157249
533	0.1800907784
534	0.1795504975
535	0.1793764208
536	0.1790474873
537	0.178618023
538	0.1783016443
539	0.1782641743
540	0.1779907243
541	0.1776183776
542	0.1772405773
543	0.1767198212
544	0.1766592721
545	0.1765118943
546	0.176200642
547	0.1757887456
548	0.1753888816
549	0.1749651314
550	0.1747161898
551	0.1744370598
552	0.1741900369
553	0.1738849053
554	0.1736794085
555	0.1733268733
556	0.1729352544
557	0.172608227
558	0.1724734899
559	0.1722495833
560	0.1721878288
561	0.1721484255
562	0.1717647231
563	0.1713552281
564	0.1710454063
565	0.170947813
566	0.1705172743
567	0.1704877296
568	0.1701840554
569	0.1700284397
570	0.1697711473
571	0.1696508976
572	0.1692985927
573	0.1689466588
574	0.1688332097
575	0.1688007831
576	0.168475853
577	0.1684008867
578	0.1683174116
579	0.1682448934
580	0.1681677045
581	0.1679862379
582	0.1676125178
583	0.1671570234
584	0.166888417
585	0.166756673
586	0.1664218824
587	0.1662711908
588	0.1662049477
589	0.1658234847
590	0.1654732979
591	0.1650880031
592	0.1650026177
593	0.1649500439
594	0.1645898896
595	0.1640796693
596	0.1637156286
597	0.1633099418
598	0.1631562426
599	0.1628015921
600	0.1626082274
601	0.162319933
602	0.1620216433
603	0.161873887
604	0.1617237878
605	0.1614072436
606	0.1610293774
607	0.1607785868
608	0.1605376876
609	0.1604760763
610	0.1602388276
611	0.1599693415
612	0.1599067054
613	0.1596607056
614	0.1595186252
615	0.1592042949
616	0.1590439205
617	0.158674823
618	0.1585724681
619	0.1585253789
620	0.1582013635
621	0.1579150861
622	0.1578823914
623	0.1578248151
624	0.157508899
625	0.1573542219
626	0.1571892336
627	0.157087164
628	0.1566541574
629	0.156542945
630	0.1563689318
631	0.1561782015
632	0.156029619
633	0.1558402028
634	0.1555721146
635	0.1554407581
636	0.1552424226
637	0.1545125167
638	0.1542534901
639	0.1541426801
640	0.1539033227
641	0.1537491735
642	0.1536606373
643	0.1535042604
644	0.1531788433
645	0.1530280363
646	0.1526376047
647	0.1525771606
648	0.152344456
649	0.152305957
650	0.1522529999
651	0.1520718893
652	0.1520215694
653	0.1515699159
654	0.1514155825
655	0.1510706874
656	0.1509671804
657	0.1509394806
658	0.1507789212
659	0.150556496
660	0.150137367
661	0.1498784284
662	0.1496991525
663	0.1496280461
664	0.1494683871
665	0.1494439003
666	0.1493488654
667	0.1489792567
668	0.1489256104
669	0.1487353191
670	0.1484744743
671	0.1484023945
672	0.14810273
673	0.147935347
674	0.147720716
675	0.1475173494
676	0.1472974859
677	0.1472510067
678	0.1469638765
679	0.1467173002
680	0.1466722032
681	0.1464855152
682	0.1462915182
683	0.146237828
684	0.1460388138
685	0.1460016507
686	0.1459610698
687	0.1457423457
688	0.1455139918
689	0.1453797257
690	0.1449801998
691	0.1445633493
692	0.1443281877
693	0.1441116365
694	0.1438872462
695	0.1438098451
696	0.1437052032
697	0.1435464422
698	0.1433213398
699	0.1432656438
700	0.1430432429
701	0.1429303217
702	0.1428689587
703	0.142672209
704	0.1421894828
705	0.1420424259
706	0.142018839
707	0.1416545269
708	0.1414641773
709	0.1413167083
710	0.1410297081
711	0.1410009282
712	0.140872481
713	0.1404937585
714	0.1401073635
715	0.1398135557
716	0.1397328075
717	0.1395365588
718	0.1394695163
719	0.1393412021
720	0.1392543207
721	0.1391004935
722	0.1389877897
723	0.1387298672
724	0.1386089045
725	0.1384175147
726	0.1382286445
727	0.1381754788
728	0.1380541448
729	0.1379269973
730	0.1377068873
731	0.1375460557
732	0.1375044747
733	0.1372745941
734	0.1371976782
735	0.1370504494
736	0.1369311839
737	0.1367285616
738	0.1366529311
739	0.1366131456
740	0.1365389566
741	0.1363429441
742	0.1362522351
743	0.1361199577
744	0.1359641461
745	0.1358820759
746	0.1357760833
747	0.1356929561
748	0.1354798182
749	0.1353883262
750	0.13513352
751	0.1350837525
752	0.1350565259
753	0.134935687
754	0.1348742177
755	0.1347465708
756	0.1345765085
757	0.1345070181
758	0.1341824155
759	0.1340007832
760	0.1337920939
761	0.1336051301
762	0.1332754838
